Campaign,age,gender,interest,Impressions,Clicks,Spent,Approved_Conversion,Product
Q,30,0,10,5517,1,1.230000019,0,LG Washing Machine
N,30,0,10,1539,0,0,1,ThinkPad Laptop
Q,30,0,16,3189,0,0,0,LG Washing Machine
Q,30,0,16,3348,0,0,0,LG Washing Machine
S,30,0,16,20050,4,4.659999847,1,Lightning Charging Cable
L,45,1,16,2254,0,0,0,Google Phone
H,45,1,16,5894,1,1.539999962,1,Bose SoundSport Headphones
C,35,1,16,9948,2,2.720000029,0,Apple Airpods Headphones
P,45,0,26,5307,3,4.289999962,1,Vareebadd Phone
G,35,0,22,4621,2,3.25,1,Wired Headphones
Q,35,0,18,784,0,0,1,LG Washing Machine
A,35,0,16,5775,1,1.580000043,1,iPhone
N,35,0,16,9297,2,2.619999886,1,ThinkPad Laptop
F,35,0,15,699,0,0,0,AAA Batteries (4-pack)
Q,35,0,10,1104,0,0,0,LG Washing Machine
I,30,0,64,3717,1,1.539999962,0,27in FHD Monitor
B,30,0,28,2879,1,1.590000033,2,Macbook Pro Laptop
J,30,0,28,2749,1,1.389999986,0,27in 4K Gaming Monitor
O,45,0,10,24028,9,12.39000034,0,20in Monitor
R,30,0,29,1118,0,0,1,LG Dryer
J,30,0,26,1083,0,0,1,27in 4K Gaming Monitor
K,30,0,27,843,0,0,0,34in Ultrawide Monitor
H,30,0,25,2983,1,0.970000029,0,Bose SoundSport Headphones
J,30,0,25,696,0,0,0,27in 4K Gaming Monitor
E,45,0,16,7589,2,3.150000095,1,AA Batteries (4-pack)
S,45,0,16,20997,10,11.94999981,0,Lightning Charging Cable
Q,45,0,16,4617,1,1.360000014,0,LG Washing Machine
Q,45,0,20,259,0,0,0,LG Washing Machine
M,30,0,18,1134,0,0,0,Flatscreen TV
R,40,0,27,357,0,0,0,LG Dryer
E,40,0,10,848,0,0,1,AA Batteries (4-pack)
S,40,0,10,3149,1,1.480000019,0,Lightning Charging Cable
B,40,0,2,87,0,0,1,Macbook Pro Laptop
K,35,0,27,2563,1,1.480000019,0,34in Ultrawide Monitor
B,35,0,10,1107,0,0,0,Macbook Pro Laptop
O,45,0,64,10677,5,7.269999981,0,20in Monitor
L,35,0,22,2189,1,0.409999996,0,Google Phone
F,45,0,27,3277,2,2.680000067,0,AAA Batteries (4-pack)
J,45,0,26,781,0,0,0,27in 4K Gaming Monitor
M,35,0,16,2226,0,0,0,Flatscreen TV
J,35,0,16,16274,4,6.079999924,0,27in 4K Gaming Monitor
G,45,0,20,2077,1,1.50999999,1,Wired Headphones
I,30,0,20,529,0,0,0,27in FHD Monitor
Q,30,0,20,487,0,0,0,LG Washing Machine
D,30,0,20,4626,2,2.099999905,0,USB-C Charging Cable
O,30,0,28,2764,1,1.559999943,1,20in Monitor
B,45,0,10,5447,2,2.960000038,0,Macbook Pro Laptop
S,40,0,16,28169,8,12.36999989,1,Lightning Charging Cable
P,40,0,27,415,0,0,0,Vareebadd Phone
B,35,0,29,810,0,0,1,Macbook Pro Laptop
J,30,1,10,1194718,141,254.049996,14,27in 4K Gaming Monitor
J,30,1,10,637648,67,122.4,5,27in 4K Gaming Monitor
J,30,1,10,24362,0,0,1,27in 4K Gaming Monitor
M,30,1,10,459690,50,86.33000112,2,Flatscreen TV
E,30,1,10,750060,86,161.9099991,2,AA Batteries (4-pack)
A,30,1,15,30068,1,1.820000052,0,iPhone
E,30,1,15,1267550,123,236.7699986,10,AA Batteries (4-pack)
O,30,1,15,3052003,340,639.9499981,17,20in Monitor
S,30,1,15,29945,1,1.590000033,1,Lightning Charging Cable
L,30,1,15,357856,30,52.97000015,3,Google Phone
E,30,1,16,2080666,202,360.1500015,21,AA Batteries (4-pack)
M,30,1,16,145999,9,16.5200001,2,Flatscreen TV
R,30,1,16,32616,1,1.539999962,0,LG Dryer
N,30,1,16,984521,95,163.8999972,14,ThinkPad Laptop
I,30,1,18,880814,123,210.3600006,2,27in FHD Monitor
N,30,1,18,182452,20,35.73000026,1,ThinkPad Laptop
I,30,1,18,894911,120,215.8399994,4,27in FHD Monitor
L,30,1,18,31349,2,3.800000072,0,Google Phone
E,30,1,19,410310,55,96.80000055,0,AA Batteries (4-pack)
D,30,1,19,572450,89,157.329998,4,USB-C Charging Cable
K,30,1,19,98759,15,26.56999946,1,34in Ultrawide Monitor
B,30,1,19,345371,54,93.08999991,3,Macbook Pro Laptop
E,30,1,20,323899,46,78.9200002,1,AA Batteries (4-pack)
G,30,1,20,399199,58,103.1500002,0,Wired Headphones
R,30,1,20,171202,22,36.53000021,1,LG Dryer
E,30,1,20,128386,15,28.85000002,1,AA Batteries (4-pack)
L,30,1,20,1034284,152,257.7099986,9,Google Phone
M,30,1,20,45923,5,7.220000148,0,Flatscreen TV
E,30,1,21,40873,4,7.899999976,1,AA Batteries (4-pack)
E,30,1,21,286553,34,62.06000042,1,AA Batteries (4-pack)
F,30,1,21,20618,1,2.099999905,1,AAA Batteries (4-pack)
I,30,1,21,83591,7,14.14000046,2,27in FHD Monitor
J,30,1,21,114923,12,23.73000026,2,27in 4K Gaming Monitor
E,30,1,22,25002,1,1.710000038,0,AA Batteries (4-pack)
L,30,1,22,68905,5,9.440000057,0,Google Phone
I,30,1,22,169588,16,27.79999924,0,27in FHD Monitor
K,30,1,22,328991,35,67.65000057,2,34in Ultrawide Monitor
L,30,1,23,23198,2,2.980000019,0,Google Phone
J,30,1,23,26890,2,3.24000001,0,27in 4K Gaming Monitor
O,30,1,23,221695,31,52.26000011,2,20in Monitor
J,30,1,24,88443,7,13.0400002,1,27in 4K Gaming Monitor
M,30,1,24,187856,23,38.38999975,1,Flatscreen TV
N,30,1,25,570699,80,138.7699997,2,ThinkPad Laptop
N,30,1,25,1063508,145,260.3800013,7,ThinkPad Laptop
B,30,1,25,50523,6,8.549999952,0,Macbook Pro Laptop
G,30,1,26,87935,9,15.63000023,0,Wired Headphones
H,30,1,26,278225,33,60.19999957,0,Bose SoundSport Headphones
D,30,1,26,209461,20,34.19000006,0,USB-C Charging Cable
S,30,1,26,26316,2,3.24000001,0,Lightning Charging Cable
E,30,1,27,41030,3,5.140000105,1,AA Batteries (4-pack)
O,30,1,27,876671,120,216.5599982,4,20in Monitor
F,30,1,27,399392,53,93.07000041,0,AAA Batteries (4-pack)
G,30,1,27,283858,30,56.05999923,0,Wired Headphones
L,30,1,27,260699,31,54.09999871,2,Google Phone
I,30,1,28,57781,5,7.800000072,1,27in FHD Monitor
Q,30,1,28,38757,3,5.220000029,0,LG Washing Machine
I,30,1,28,1392288,206,358.5500029,7,27in FHD Monitor
Q,30,1,28,1109387,159,280.9899995,2,LG Washing Machine
M,30,1,29,581281,65,115.1200008,5,Flatscreen TV
J,30,1,29,1048861,128,219.770002,8,27in 4K Gaming Monitor
Q,30,1,29,297452,30,52.01999986,1,LG Washing Machine
L,30,1,29,227925,22,35.30999994,12,Google Phone
L,30,1,29,374175,38,63.32000101,3,Google Phone
E,30,1,30,223586,32,54.24000037,0,AA Batteries (4-pack)
H,30,1,30,283170,39,65.22999996,1,Bose SoundSport Headphones
S,30,1,30,41636,3,4.210000038,0,Lightning Charging Cable
L,30,1,30,198658,30,48.60999978,1,Google Phone
I,30,1,31,100596,10,13.91999972,2,27in FHD Monitor
D,30,1,31,64020,5,11.0599997,0,USB-C Charging Cable
M,30,1,31,14289,0,0,0,Flatscreen TV
I,30,1,32,404866,43,87.42000079,0,27in FHD Monitor
Q,30,1,32,22256,1,1.659999967,1,LG Washing Machine
R,30,1,32,57690,4,6.74000001,0,LG Dryer
N,30,1,36,24952,5,8.220000267,2,ThinkPad Laptop
K,30,1,36,38900,3,5.580000043,0,34in Ultrawide Monitor
R,30,1,36,53520,6,9.2299999,1,LG Dryer
G,30,1,36,181683,20,34.22999972,1,Wired Headphones
N,30,1,36,29185,2,3.149999976,0,ThinkPad Laptop
M,30,1,36,105047,13,20.2099994,1,Flatscreen TV
O,30,1,63,287976,31,59.43999982,2,20in Monitor
L,30,1,63,212175,22,38.58999968,1,Google Phone
C,30,1,63,11139,0,0,1,Apple Airpods Headphones
E,30,1,63,124005,11,21.84999979,1,AA Batteries (4-pack)
L,30,1,63,20423,1,1.960000038,0,Google Phone
H,30,1,64,103001,14,22.32000005,0,Bose SoundSport Headphones
E,30,1,64,447420,66,110.2399991,2,AA Batteries (4-pack)
B,30,1,64,156101,19,29.75000048,2,Macbook Pro Laptop
M,30,1,64,93015,12,18.47000015,0,Flatscreen TV
N,30,1,65,145398,23,36.24000025,0,ThinkPad Laptop
D,30,1,65,296413,50,76.43999958,1,USB-C Charging Cable
Q,30,1,2,9370,0,0,1,LG Washing Machine
D,30,1,2,63785,7,11.80000019,2,USB-C Charging Cable
N,30,1,2,118522,14,26.81999981,1,ThinkPad Laptop
I,30,1,2,240123,38,65.67000115,4,27in FHD Monitor
J,30,1,7,169108,20,32.24000025,1,27in 4K Gaming Monitor
F,30,1,7,1044442,142,245.5999999,8,AAA Batteries (4-pack)
L,30,1,7,93891,11,17.6400001,3,Google Phone
S,30,1,7,185823,25,38.54999936,1,Lightning Charging Cable
H,30,1,66,175631,23,40.75999951,0,Bose SoundSport Headphones
R,30,1,66,37187,4,6.370000005,0,LG Dryer
H,30,1,66,10991,0,0,0,Bose SoundSport Headphones
H,30,1,66,344618,51,89.76000047,1,Bose SoundSport Headphones
F,35,1,10,98066,9,16.1500001,0,AAA Batteries (4-pack)
S,35,1,10,770749,100,189.1299984,3,Lightning Charging Cable
L,35,1,10,52553,5,8.529999852,0,Google Phone
B,35,1,10,362296,39,67.77000129,3,Macbook Pro Laptop
C,35,1,10,427729,50,96.8999989,1,Apple Airpods Headphones
D,35,1,15,180351,21,37.13000011,1,USB-C Charging Cable
P,35,1,15,187329,29,53.15999961,1,Vareebadd Phone
H,35,1,15,782894,118,192.9299995,2,Bose SoundSport Headphones
P,35,1,16,1206533,128,236.1199988,6,Vareebadd Phone
A,35,1,16,84494,7,12.57000017,0,iPhone
R,35,1,16,94257,7,12.5800004,1,LG Dryer
O,35,1,18,131060,16,28.04999959,1,20in Monitor
H,35,1,18,341603,50,83.48000121,2,Bose SoundSport Headphones
M,35,1,18,140749,19,30.4799999,1,Flatscreen TV
S,35,1,18,102525,13,20.29999983,1,Lightning Charging Cable
G,35,1,19,447952,68,131.5799983,1,Wired Headphones
S,35,1,19,76355,9,14.62999988,0,Lightning Charging Cable
K,35,1,20,256598,38,64.46999931,1,34in Ultrawide Monitor
F,35,1,20,127476,21,30.15000057,2,AAA Batteries (4-pack)
G,35,1,20,237603,37,62.25000024,2,Wired Headphones
M,35,1,21,271091,42,78.03999984,1,Flatscreen TV
P,35,1,21,21743,2,3.400000095,0,Vareebadd Phone
D,35,1,22,88970,10,14.8300004,0,USB-C Charging Cable
A,35,1,22,108362,13,22.42999983,1,iPhone
E,35,1,22,188596,27,44.14000034,0,AA Batteries (4-pack)
H,35,1,22,275080,43,69.65999997,3,Bose SoundSport Headphones
K,35,1,23,64647,10,16.26999998,0,34in Ultrawide Monitor
K,35,1,23,31265,4,5.789999902,0,34in Ultrawide Monitor
P,35,1,23,140147,24,42.08000016,0,Vareebadd Phone
S,35,1,23,223120,40,67.66999984,0,Lightning Charging Cable
N,35,1,23,104869,18,34.07000089,0,ThinkPad Laptop
N,35,1,24,165177,23,41.71999967,1,ThinkPad Laptop
Q,35,1,24,84194,11,19.56999981,0,LG Washing Machine
R,35,1,24,220581,31,57.37,1,LG Dryer
F,35,1,25,75804,10,17.36999965,1,AAA Batteries (4-pack)
D,35,1,25,368986,59,100.289999,0,USB-C Charging Cable
B,35,1,25,28194,3,3.709999919,0,Macbook Pro Laptop
G,35,1,26,99961,14,23.2099998,0,Wired Headphones
N,35,1,26,7573,0,0,0,ThinkPad Laptop
D,35,1,27,685781,103,177.8899992,1,USB-C Charging Cable
K,35,1,27,274222,43,66.7700001,1,34in Ultrawide Monitor
K,35,1,27,110503,25,32.67999995,0,34in Ultrawide Monitor
P,35,1,28,1447755,233,420.5799983,8,Vareebadd Phone
L,35,1,28,358987,52,87.55000067,0,Google Phone
O,35,1,28,826205,125,232.3700008,1,20in Monitor
N,35,1,28,550954,84,150.1400012,0,ThinkPad Laptop
B,35,1,28,378350,55,96.48000073,0,Macbook Pro Laptop
Q,35,1,29,492784,56,95.5100013,4,LG Washing Machine
M,35,1,29,327158,43,72.3100003,2,Flatscreen TV
I,35,1,29,9921,0,0,0,27in FHD Monitor
C,35,1,29,59390,5,9.209999919,3,Apple Airpods Headphones
E,35,1,29,1040330,147,254.2500038,2,AA Batteries (4-pack)
E,35,1,30,49422,6,11.17000031,0,AA Batteries (4-pack)
P,35,1,30,131091,18,34.23000026,1,Vareebadd Phone
J,35,1,30,95691,15,25.26000011,1,27in 4K Gaming Monitor
D,35,1,31,15513,1,1.289999962,0,USB-C Charging Cable
I,35,1,32,382537,63,113.9900012,3,27in FHD Monitor
R,35,1,32,461356,64,121.0999982,3,LG Dryer
A,35,1,32,392541,53,98.70000017,2,iPhone
P,35,1,36,35088,5,8.800000072,1,Vareebadd Phone
I,35,1,36,53933,6,9.929999948,1,27in FHD Monitor
E,35,1,63,228861,33,53.38999939,2,AA Batteries (4-pack)
O,35,1,63,20959,2,3.769999981,1,20in Monitor
Q,35,1,64,24992,2,3.190000057,0,LG Washing Machine
P,35,1,64,100351,15,24.17999995,1,Vareebadd Phone
Q,35,1,64,292448,43,76.89999968,1,LG Washing Machine
S,35,1,64,65060,7,14.5200001,1,Lightning Charging Cable
O,35,1,64,133316,21,36.17000055,0,20in Monitor
K,35,1,65,113501,26,38.44000077,4,34in Ultrawide Monitor
Q,35,1,65,192810,41,61.92999995,3,LG Washing Machine
G,35,1,2,233404,43,70.4100008,1,Wired Headphones
F,35,1,2,128843,24,37.5999999,0,AAA Batteries (4-pack)
P,35,1,2,63564,12,20.59000027,0,Vareebadd Phone
C,35,1,2,85970,14,24.78000021,1,Apple Airpods Headphones
K,35,1,7,131232,16,29.53999937,1,34in Ultrawide Monitor
Q,35,1,7,152454,22,37.84999979,1,LG Washing Machine
F,35,1,7,28989,2,2.290000021,0,AAA Batteries (4-pack)
B,35,1,66,80248,15,24.1900003,1,Macbook Pro Laptop
C,35,1,66,38580,5,8.519999981,0,Apple Airpods Headphones
H,40,1,10,621591,91,163.36,1,Bose SoundSport Headphones
P,40,1,10,250499,36,58.14000005,1,Vareebadd Phone
L,40,1,10,131637,18,29.30999982,1,Google Phone
E,40,1,10,463813,69,116.3399996,2,AA Batteries (4-pack)
G,40,1,10,211767,35,60.89999914,1,Wired Headphones
C,40,1,15,163181,26,40.02000093,1,Apple Airpods Headphones
J,40,1,16,1117385,147,260.0699984,2,27in 4K Gaming Monitor
F,40,1,16,1663441,205,359.4700001,6,AAA Batteries (4-pack)
M,40,1,16,455248,54,105.7099996,2,Flatscreen TV
A,40,1,16,75589,6,10.66000009,1,iPhone
A,40,1,16,594267,82,143.3000009,2,iPhone
C,40,1,16,315281,35,65.02999854,0,Apple Airpods Headphones
K,40,1,19,363456,71,117.5599997,1,34in Ultrawide Monitor
F,40,1,19,438983,81,143.4300001,1,AAA Batteries (4-pack)
E,40,1,19,42563,5,9.659999847,1,AA Batteries (4-pack)
J,40,1,20,399035,75,124.7999995,3,27in 4K Gaming Monitor
M,40,1,20,304680,59,98.55000019,0,Flatscreen TV
S,40,1,20,140596,23,40.77000022,0,Lightning Charging Cable
L,40,1,20,439986,80,134.8799999,3,Google Phone
B,40,1,20,75803,11,19.3599999,2,Macbook Pro Laptop
G,40,1,21,7073,0,0,0,Wired Headphones
L,40,1,22,153586,28,43.01000035,0,Google Phone
K,40,1,22,180815,31,42.62999976,0,34in Ultrawide Monitor
E,40,1,22,253169,51,75.78999984,0,AA Batteries (4-pack)
O,40,1,22,34453,5,7.710000038,1,20in Monitor
M,40,1,23,51550,8,14.03999984,0,Flatscreen TV
S,40,1,23,110018,24,39.85999966,0,Lightning Charging Cable
S,40,1,24,137584,21,36.77999961,0,Lightning Charging Cable
M,40,1,24,209825,30,54.86999953,0,Flatscreen TV
I,40,1,25,264222,63,87.7899996,1,27in FHD Monitor
H,40,1,26,31202,5,6.730000019,0,Bose SoundSport Headphones
S,40,1,27,252991,49,76.83999932,0,Lightning Charging Cable
Q,40,1,27,56265,9,15.53999972,0,LG Washing Machine
C,40,1,29,76923,11,17.67000008,2,Apple Airpods Headphones
H,40,1,29,209332,30,49.60000014,1,Bose SoundSport Headphones
E,40,1,29,214094,31,53.26999903,0,AA Batteries (4-pack)
C,40,1,29,526209,85,126.9299996,2,Apple Airpods Headphones
A,40,1,29,741143,120,179.620001,1,iPhone
Q,40,1,29,172827,25,38.42000043,0,LG Washing Machine
I,40,1,30,188873,38,58.5999999,1,27in FHD Monitor
G,40,1,30,123126,25,39.72999978,1,Wired Headphones
B,40,1,31,77794,14,19.11000001,1,Macbook Pro Laptop
O,40,1,32,56630,9,15.81000018,1,20in Monitor
L,40,1,32,400844,85,140.9700022,2,Google Phone
C,40,1,32,208572,36,60.76000023,1,Apple Airpods Headphones
D,40,1,36,59004,8,13.51000011,0,USB-C Charging Cable
M,40,1,36,196253,32,55.10000002,0,Flatscreen TV
N,40,1,63,51858,8,12.63000011,1,ThinkPad Laptop
S,40,1,63,280764,49,81.36000025,1,Lightning Charging Cable
P,40,1,64,63660,11,16.47000003,1,Vareebadd Phone
L,40,1,64,109289,19,31.02999997,0,Google Phone
Q,40,1,65,188440,40,60.72999966,1,LG Washing Machine
A,40,1,2,212496,44,74.83000135,1,iPhone
I,40,1,2,32574,5,7.480000019,0,27in FHD Monitor
R,40,1,2,128595,23,36.4800005,1,LG Dryer
F,40,1,7,242234,48,68.06000054,0,AAA Batteries (4-pack)
A,40,1,66,33154,5,7.879999995,1,iPhone
S,40,1,66,9773,1,1.460000038,0,Lightning Charging Cable
L,45,1,10,464036,77,123.5500004,1,Google Phone
O,45,1,10,478480,75,135.7500012,1,20in Monitor
O,45,1,10,428812,66,116.8800001,2,20in Monitor
I,45,1,10,1177535,221,365.6600009,3,27in FHD Monitor
K,45,1,10,426500,72,128.2799988,1,34in Ultrawide Monitor
A,45,1,15,54237,7,10.77999985,1,iPhone
P,45,1,15,506916,89,133.6999986,2,Vareebadd Phone
M,45,1,15,250960,42,64.87999952,0,Flatscreen TV
A,45,1,16,2286228,353,603.380002,7,iPhone
A,45,1,16,915451,125,220.559999,1,iPhone
P,45,1,16,159478,20,33.89999998,1,Vareebadd Phone
J,45,1,16,1228924,190,318.9700032,3,27in 4K Gaming Monitor
F,45,1,16,938283,134,248.6400001,2,AAA Batteries (4-pack)
B,45,1,18,154572,26,40.93000007,1,Macbook Pro Laptop
B,45,1,18,378171,70,109.2500008,0,Macbook Pro Laptop
G,45,1,18,468749,84,134.1199975,1,Wired Headphones
K,45,1,19,309823,60,103.3899996,4,34in Ultrawide Monitor
E,45,1,19,327227,65,116.5599996,0,AA Batteries (4-pack)
A,45,1,19,334945,72,120.2999994,1,iPhone
B,45,1,19,68859,15,25.45999968,0,Macbook Pro Laptop
Q,45,1,20,127125,20,35.67999983,0,LG Washing Machine
K,45,1,20,415798,80,131.7800006,1,34in Ultrawide Monitor
H,45,1,20,107671,20,29.91000021,1,Bose SoundSport Headphones
F,45,1,20,164356,28,46.7900002,1,AAA Batteries (4-pack)
I,45,1,20,17662,2,3.189999938,0,27in FHD Monitor
B,45,1,21,65339,10,16.67999983,0,Macbook Pro Laptop
E,45,1,21,59838,7,11.11000013,0,AA Batteries (4-pack)
M,45,1,21,381577,81,127.5699993,0,Flatscreen TV
L,45,1,22,45491,8,11.00999999,0,Google Phone
S,45,1,23,18946,2,3.599999905,0,Lightning Charging Cable
C,45,1,23,114370,18,33.65999997,0,Apple Airpods Headphones
A,45,1,23,99698,21,33.3499999,0,iPhone
G,45,1,24,355165,81,128.6099997,3,Wired Headphones
G,45,1,25,101431,23,33.93000031,1,Wired Headphones
F,45,1,25,123151,24,36.4400003,1,AAA Batteries (4-pack)
A,45,1,26,24078,4,5.769999981,0,iPhone
F,45,1,27,517801,105,181.7200011,0,AAA Batteries (4-pack)
L,45,1,27,145104,25,41.42000008,1,Google Phone
M,45,1,27,179950,35,58.67999971,0,Flatscreen TV
D,45,1,27,258531,46,80.33999979,0,USB-C Charging Cable
S,45,1,27,272500,62,104.4599996,0,Lightning Charging Cable
C,45,1,28,273197,57,87.7300005,0,Apple Airpods Headphones
Q,45,1,28,775904,172,253.990002,2,LG Washing Machine
I,45,1,28,120251,26,39.44000006,0,27in FHD Monitor
Q,45,1,28,139406,24,39.04999948,0,LG Washing Machine
K,45,1,28,60314,11,16.93999958,1,34in Ultrawide Monitor
A,45,1,29,563074,86,142.7099985,2,iPhone
G,45,1,29,168655,18,27.29999983,0,Wired Headphones
L,45,1,29,111963,17,29.3799994,1,Google Phone
M,45,1,29,1026304,168,277.5799986,8,Flatscreen TV
A,45,1,29,1391924,258,422.8400038,10,iPhone
L,45,1,29,147551,22,38.50000083,0,Google Phone
S,45,1,31,66794,9,17.3299998,1,Lightning Charging Cable
S,45,1,31,118882,19,32.30999994,1,Lightning Charging Cable
A,45,1,31,148010,24,41.96999943,0,iPhone
S,45,1,32,932890,197,352.4499989,1,Lightning Charging Cable
H,45,1,32,718359,147,264.5899997,1,Bose SoundSport Headphones
H,45,1,32,433658,82,158.5999998,2,Bose SoundSport Headphones
R,45,1,32,29455,3,4.769999981,0,LG Dryer
P,45,1,36,23973,3,4.820000052,1,Vareebadd Phone
F,45,1,63,126480,25,37.25999999,1,AAA Batteries (4-pack)
S,45,1,63,138959,28,39.5200007,0,Lightning Charging Cable
A,45,1,63,68829,12,19.47999978,0,iPhone
Q,45,1,64,49916,10,16.38,1,LG Washing Machine
Q,45,1,65,76014,16,22.67000031,1,LG Washing Machine
H,45,1,2,50947,10,15.99000025,0,Bose SoundSport Headphones
O,45,1,66,55536,11,17.04999995,0,20in Monitor
A,30,0,10,318042,46,64.40999997,4,iPhone
L,30,0,10,213016,30,44.21999955,2,Google Phone
L,30,0,15,182265,27,38.18000007,1,Google Phone
G,30,0,15,1117371,177,268.050002,5,Wired Headphones
J,30,0,15,333345,52,77.59000027,1,27in 4K Gaming Monitor
N,30,0,16,275930,30,46.77999997,2,ThinkPad Laptop
H,30,0,16,740631,101,153.1199975,1,Bose SoundSport Headphones
P,30,0,16,328272,35,55.99000025,1,Vareebadd Phone
N,30,0,16,178455,20,31.5400002,3,ThinkPad Laptop
J,30,0,16,705712,98,147.339999,1,27in 4K Gaming Monitor
F,30,0,18,690373,91,159.5700021,2,AAA Batteries (4-pack)
D,30,0,18,515812,69,117.6299995,1,USB-C Charging Cable
C,30,0,18,764793,101,171.9799976,2,Apple Airpods Headphones
J,30,0,19,87832,11,18.10000038,1,27in 4K Gaming Monitor
O,30,0,19,23368,3,4.300000191,0,20in Monitor
K,30,0,19,51509,7,11.57000005,0,34in Ultrawide Monitor
R,30,0,19,87043,16,24.48000002,0,LG Dryer
O,30,0,19,565565,113,169.6699982,4,20in Monitor
E,30,0,20,253758,43,62.14000034,1,AA Batteries (4-pack)
B,30,0,20,319131,51,76.68000025,1,Macbook Pro Laptop
E,30,0,20,670608,130,195.1499978,3,AA Batteries (4-pack)
G,30,0,21,159123,25,38.36000013,3,Wired Headphones
P,30,0,21,103709,15,24.56999969,1,Vareebadd Phone
N,30,0,21,271589,45,74.41000032,3,ThinkPad Laptop
B,30,0,21,119772,20,33.46999907,2,Macbook Pro Laptop
N,30,0,22,26340,3,4.220000029,1,ThinkPad Laptop
J,30,0,22,594968,111,147.6700006,0,27in 4K Gaming Monitor
D,30,0,23,6838,0,0,0,USB-C Charging Cable
M,30,0,24,185665,39,62.14000058,0,Flatscreen TV
C,30,0,24,24959,3,4.560000062,1,Apple Airpods Headphones
F,30,0,24,136967,23,35.05999982,1,AAA Batteries (4-pack)
E,30,0,24,107548,19,29.31000018,0,AA Batteries (4-pack)
O,30,0,25,588617,119,169.9199973,0,20in Monitor
R,30,0,26,190560,26,41.63,1,LG Dryer
B,30,0,26,373110,49,75.70000076,2,Macbook Pro Laptop
L,30,0,27,935646,170,256.4699982,6,Google Phone
M,30,0,27,2223278,421,612.3000032,13,Flatscreen TV
M,30,0,27,240497,36,51.84000087,0,Flatscreen TV
P,30,0,27,259984,37,54.7900002,0,Vareebadd Phone
N,30,0,28,606786,127,179.050001,3,ThinkPad Laptop
L,30,0,28,83270,13,17.74000001,0,Google Phone
C,30,0,28,1189509,268,375.7199963,3,Apple Airpods Headphones
Q,30,0,28,11471,1,1.570000052,0,LG Washing Machine
P,30,0,29,1705246,295,429.4799981,10,Vareebadd Phone
H,30,0,29,418016,63,95.8500005,1,Bose SoundSport Headphones
Q,30,0,29,30155,3,3.819999933,0,LG Washing Machine
A,30,0,29,990404,153,226.5399992,6,iPhone
Q,30,0,30,187468,34,50.72000062,1,LG Washing Machine
Q,30,0,30,208301,33,54.57000089,0,LG Washing Machine
M,30,0,30,101856,16,25.22000039,1,Flatscreen TV
Q,30,0,31,48935,7,9.970000267,1,LG Washing Machine
M,30,0,31,13911,1,1.730000019,1,Flatscreen TV
O,30,0,32,511726,77,123.0900019,4,20in Monitor
O,30,0,32,177452,24,37.83000016,0,20in Monitor
J,30,0,32,149808,20,33.03999937,1,27in 4K Gaming Monitor
F,30,0,32,390339,60,105.0199997,6,AAA Batteries (4-pack)
H,30,0,32,8350,0,0,0,Bose SoundSport Headphones
R,30,0,36,39339,4,5.929999948,0,LG Dryer
H,30,0,63,8587,0,0,0,Bose SoundSport Headphones
P,30,0,63,24893,2,3.75,0,Vareebadd Phone
S,30,0,63,1296189,212,343.2599944,4,Lightning Charging Cable
P,30,0,63,91607,12,19.1899997,1,Vareebadd Phone
R,30,0,64,238036,38,61.02999771,3,LG Dryer
I,30,0,64,254344,35,56.16999996,1,27in FHD Monitor
P,30,0,64,157705,23,39.23000026,0,Vareebadd Phone
S,30,0,64,411571,60,99.1799984,1,Lightning Charging Cable
H,30,0,64,94136,11,16.17999971,0,Bose SoundSport Headphones
S,30,0,65,82640,16,23.97000039,1,Lightning Charging Cable
I,30,0,65,17870,2,2.620000005,1,27in FHD Monitor
Q,30,0,2,19178,2,2.779999971,1,LG Washing Machine
K,30,0,2,5264,0,0,0,34in Ultrawide Monitor
K,30,0,2,145548,28,42.37000036,1,34in Ultrawide Monitor
A,30,0,2,82455,15,22.04999971,0,iPhone
D,30,0,7,44189,7,10.31999981,0,USB-C Charging Cable
K,30,0,7,45199,7,9.809999943,0,34in Ultrawide Monitor
A,30,0,7,221843,43,63.45000076,0,iPhone
B,30,0,66,41672,6,10.54999995,1,Macbook Pro Laptop
N,35,0,10,127546,25,38.94000041,0,ThinkPad Laptop
J,35,0,10,127865,28,38.02999961,1,27in 4K Gaming Monitor
G,35,0,10,1025327,229,314.2999983,2,Wired Headphones
N,35,0,10,561415,124,173.76,0,ThinkPad Laptop
I,35,0,15,132803,25,37.32000124,1,27in FHD Monitor
P,35,0,15,24664,2,2.629999995,1,Vareebadd Phone
E,35,0,16,1020561,172,263.8100007,3,AA Batteries (4-pack)
O,35,0,16,682143,114,177.1099993,2,20in Monitor
R,35,0,16,1247717,222,343.4199994,4,LG Dryer
B,35,0,16,146406,23,33.22999942,1,Macbook Pro Laptop
R,35,0,16,905699,161,234.6599982,1,LG Dryer
N,35,0,16,1184580,194,297.8299981,3,ThinkPad Laptop
F,35,0,18,98057,20,31.00999963,1,AAA Batteries (4-pack)
K,35,0,19,238735,56,84.65999889,1,34in Ultrawide Monitor
E,35,0,19,320657,77,115.8800026,0,AA Batteries (4-pack)
Q,35,0,21,244074,57,84.51000023,2,LG Washing Machine
O,35,0,21,39146,8,13.05999959,0,20in Monitor
H,35,0,22,78468,15,23.64999962,0,Bose SoundSport Headphones
